"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"GABPB1-AS1",5.16052862940394,5.39401305753502,5.41572387031665,5.69784668036477,5.29266215335756,6.83229605090341,7.05419156038283,5.70212391550947,5.76729912891765,7.20823885869862
"KRTAP4-9",11.5754347308254,13.7268202509183,12.1690746427641,13.6277367523244,8.72569976408643,13.761217189907,14.0809142730752,13.700170744356,13.8307117578138,13.9322104682118
"KRTAP4-7",10.5080822580001,12.9713873243867,10.7844885786021,12.8487847906099,6.38291910525096,13.0577840450976,13.583139060707,13.1068552748481,13.2380397840834,13.404588233001
"LOC100505782",6.16033455458434,6.88668025564688,5.66895333108602,7.16740317223682,5.06583539290516,7.41170492568299,9.47014129622945,7.66851333462242,8.66376095153442,8.35734845072689
"PSMB8-AS1",9.01202238778013,7.91978060837367,8.62986694243914,8.34720847412931,7.9175546167351,8.16038173125801,6.86155137988102,7.06630137164656,7.00969940777255,7.1434633398484
"TRIM10",5.97912606950798,8.00311938632761,7.50907401511517,7.51003503544307,7.31955889992441,8.73869553962408,9.99156563115817,7.06799928770415,8.54202214725765,8.54184501660183
"ARL4C",7.89974676708435,8.35638343419363,8.09466504743829,8.29140831319029,7.57131443898341,8.67201770817453,9.45668019137599,9.19398048497657,9.77532149660675,9.07958312940103
"LOC101928881",6.87608173638467,9.18861108091125,6.86262290861838,9.22588394633914,5.21523485568431,9.78311482666124,11.46178805254,9.59820192310008,10.2978108339158,10.5146022603079
"LOC101929148",4.41553006810415,4.45217584326258,4.31427956853364,4.30212289401308,4.45202286722548,5.3649063330148,4.34985901699889,5.56079108970852,6.44495324282859,5.81169167184543
"LINGO1-AS2",5.54675096815532,6.53075750812089,5.69114037853778,6.3079386666633,5.84928421173593,6.93756859921527,8.65475017667273,7.42090737017383,8.43353246443221,7.55201529477393
"ANGPTL7",8.91414288364145,12.0396614024777,10.7583958883677,11.4172642802125,7.99724295751951,11.75217651097,12.9376100938015,11.2026477936186,11.5348972937382,12.4664595238154
"IKZF1",7.56767041096259,7.51479339190905,8.0546573895739,7.8280527662875,8.59770486017769,7.43881063588393,6.33090495433509,5.87602306787071,6.09300911484435,7.1459367975111
"TRIM22",10.9754461244984,10.7020728673295,10.8344005400934,10.8931471206908,11.0080822090515,10.5684494760761,9.67431673678036,9.65163291615939,9.29724676706494,10.1762934372927
"FST",10.0360410210188,9.30867789219059,9.58540922963928,9.50183220302173,9.63249300657433,8.97560184079574,8.724436654577,8.37571999864504,7.40174879554229,9.11977267246668
"LOC105374809",5.65092825734832,7.42772119101619,7.12492695634293,7.53023032868884,5.63592532672504,8.19582328282816,7.60360867756109,7.47723409327126,8.31231110433772,7.41960790366555
"IFI44",9.78355828768486,8.47364380288534,9.54911985019301,8.96833483665359,9.35604675536983,8.98731372593213,7.07152043766371,6.84108625017111,7.40381130847015,7.50582259220035
"EXOC5",8.36455516644309,8.79591366265336,8.44125598073051,8.50030446633346,8.90573865863039,7.80067144596501,7.86115551420997,5.93149711632248,5.94820666909625,8.53113532828061
"TNFSF13B",8.64250352395595,8.34733229481028,8.50653171243227,8.05925677536274,8.64043185465802,7.79171698776868,7.40346049879928,7.20597937700438,7.10599692758455,7.23074534791647
"OGA",7.94802908744235,7.67101970981321,8.24054388665789,8.24747568477006,9.23668192288264,7.37438623013169,7.71050786991482,5.93831080358115,5.74911926489522,7.38940270255799
"RUNDC3A",6.27207946257632,7.26098562074946,6.54824285357881,6.89238288247832,6.52413036665408,7.56490654106114,8.15809809709791,7.65022442386513,7.98121813807126,7.62575536090378
"IFI44L",9.07061670564372,8.75771420567198,9.33021044726258,8.82973549102205,10.1475255239278,8.47554350259489,7.44334068486028,7.24867413989051,6.64210175966415,8.11678442701786
"GLIPR1",9.54117824656531,8.93162799551325,9.69275397761675,9.47214356520174,9.72662336316972,8.99896370361603,8.14021275435853,7.84976305725647,7.37831191119454,9.0307898268781
"STMN2",10.5601698099074,10.4450358066351,10.3240406675205,10.4276269036417,12.3050245888037,9.82811225781779,9.38321561348805,9.57145319493342,9.46997102550045,9.81755805688917
"BTN3A1",11.171361828223,10.1672114118307,10.639055520527,10.6285536717025,10.8072344802914,10.2347991558222,9.18714991507229,9.84302641171429,9.63168354995933,9.37573786445414
"CHRNA3",5.15032043638913,5.90551875020871,6.27924904152178,6.36812023833304,6.31091439162968,6.34587223752568,8.15144372158037,6.97478587319067,6.41817785016805,7.59270760734924
"TRIM9",6.74220798086205,8.3707391469858,6.98725349996795,8.10610034042841,6.6356427481014,8.08426303816761,9.46118598169561,8.57790167286507,9.05226163858072,8.94304990502036
"GBP4",8.61391738008017,8.4355444457552,8.75883929301132,9.01380308622835,8.70488833780487,7.98492421563884,7.29231597474081,7.61974166608551,7.60132499282327,7.71844583122027
"SERPINA3",10.6151582909756,12.7496185040379,11.2821843592689,12.0207344934405,8.97567789022394,12.2027313717129,13.1654860378579,12.4289582069599,12.7366939156395,12.4181648371547
"LRRK2",10.6292057307277,10.3193505287465,10.6879353466505,10.8531990956419,10.8824298376595,10.0000879336172,10.2541641205122,8.95065718335728,7.92352118734669,10.1596166608256
"KRT74",8.13117102872731,9.57399774968563,8.38988407090775,8.53012862528036,7.58038789264418,8.82796633068616,10.283491626414,9.21453448390879,9.80810713401273,9.79105173933272
"CMA1",9.56774426364148,8.4560153634138,8.38849368704954,9.20463396693901,9.68688195138784,8.01097723140812,7.606565473149,7.90568814875323,8.33216565457074,8.22344540946241
"ERP27",5.55456151883978,5.37609196863572,7.20717119296324,7.87111853900358,7.86646204672893,7.26228890883724,7.9902902435948,8.68072249120993,8.65846651748987,8.35137708825246
"ADH1B",12.1446852407933,11.0566406978889,9.94466018488617,10.4593649506975,11.8785994456008,9.88630550813712,8.95769483692565,10.0663246312695,9.96094780810311,10.0555949734348
"KRT40",8.02472566031752,9.96707630855887,7.830198342143,10.5003408856566,5.54284031944845,10.7502900754148,12.4596216683989,11.0763724940044,12.0985839465873,11.4002572480228
"COL12A1",9.12852860292695,9.78083291164295,8.91253787634534,8.47295439178585,9.77184155906636,7.96771211516359,8.99525084736375,6.98305853522689,6.4535482856338,8.99097907469346
"LYPD6",7.87933056231,10.4477914236451,9.0418290714432,9.8218946609297,6.95192270980199,9.86236038112668,11.3133486315959,10.0104677190143,10.0346005276117,10.6532792715576
"COMP",8.37637439679063,10.5606857831701,9.62156608369601,10.4555682135119,7.71688631541349,10.9410843745707,12.1467865386323,10.990305909861,12.8220271899231,11.608425416853
"LRRC15",5.82880015527102,6.89173218018527,6.25138086904429,6.65368669861761,5.89273186777242,6.58578088825118,8.4268363829688,7.21527307489937,7.01014202352718,7.36538758748005
"COL6A6",8.8396910967537,7.26634207142845,7.58861374025604,6.55138935946895,8.86939253289861,6.96099342895064,5.49099523066673,5.49468501797044,6.45053434919125,6.47284803385402
"JMY",8.15722529476077,9.78012813505888,8.70973598500777,9.62000851257995,8.45731822738166,9.90842290018315,10.9038660436191,9.86422252964229,10.5653489898234,10.2617354491884
"KRT72",7.31055038057516,8.89559085489331,7.63207696194955,8.35466682363439,5.92140315090421,8.83544428442955,10.4770239170721,9.71746918080442,10.4954546471422,9.56366842467733
"CSF2RB",10.240741437232,9.88744870527188,10.357284172861,9.52607807855086,9.87697180257619,9.9502937434465,8.69347187800954,8.51615322121816,8.0957643576554,9.46098617046473
"WDR66",5.60041765819524,6.99715586585893,5.69949476951403,5.70650699416132,5.79481573808553,6.41511202645704,8.2419948769281,7.00413906092505,7.34271191440018,6.55302473790626
"BEST3",5.6040804586571,7.12378454255574,6.61880887008535,6.59930086738783,6.01437705265007,7.07912551380058,9.01461215044089,7.67486636543154,8.0658761507655,7.91851044463779
"CSNK1E",8.75397452333535,9.29740495821255,8.57357124065767,8.8071651532641,8.38041627745069,9.465132259319,10.8359868548453,10.0879023171501,10.9924055247319,9.88217432857866
"CST1",6.34583341217326,6.77175444171245,5.64864749262116,8.01727484152582,5.41211341031894,9.46532584928702,9.52235542095324,10.0049557101786,8.62747820301604,8.79937690482055
"CST4",7.35944905713779,7.42826360167011,7.34226961949847,7.70932338500852,7.26453581825938,8.64779463418339,8.78284281838413,9.1381337123009,8.86041887910068,8.47038061189546
"CBLN2",9.03200593948631,13.0320430977986,11.0566937185823,12.4575780038056,6.09438814370734,12.8262590201682,13.2586813204206,12.7796038450517,12.9143708402614,13.143609035402
"DSG4",7.73787445884466,10.1848545159257,6.71018884631466,10.2338010648197,4.61816055771125,10.4719644719565,12.4604302645466,10.3842957758375,9.18925566137551,10.3322915937672
"CAPN12",7.84224551044252,9.13916924580196,7.86733522909944,9.33446265771583,7.35402716728712,9.66639291734986,11.3619237498608,10.1216335631027,11.1977792227863,10.228450583539
"CTSS",9.95125468918591,9.75331994822575,10.3341173466955,10.1461871670187,10.1660317365495,9.41073204883375,8.27550042533456,8.89270135455915,8.3225546274183,9.53985403059134
"CREBRF",8.02875199135535,8.77196396078246,9.1152287161331,8.70006317689928,9.2627857662376,8.44390671030169,7.28674667277937,8.02616229925771,7.10371713307281,7.57797655843426
"PLEKHG4B",7.1418919194106,7.32632154322654,7.00708494528383,7.37872358739609,6.28103959807465,7.93426693519871,9.12427556649043,8.03026789749335,8.83883819835577,7.90077466662706
"RDH10",11.4245953804759,11.4502340725065,11.4046159002427,11.3410028979838,11.822637063401,10.8444584185206,10.9570909642606,10.1441296017775,8.83600216696408,11.039240192103
"TDH",5.04217995044341,5.13292381988182,4.98037774553501,5.54095814950027,4.99628123829756,6.12204788906749,7.17434764599172,5.79159891266846,6.6277530288741,6.20272019326675
"CLEC12A",8.0600388692451,6.05943553903375,5.86062628044853,6.10497628172458,7.58279888621858,5.4652359754869,5.07952192891871,5.56175766421623,4.99369005491005,5.20482143642203
"PSORS1C2",9.68840073559694,11.7203468701592,9.90624613665487,11.4251816642228,9.2836049303285,11.9823959703007,12.9129315058923,12.199124842371,12.4289423834547,12.4999684078986
"DLX1",6.44781199831659,7.56619262945194,6.38962830013136,7.47255771243019,6.20743729347196,7.55838960069006,9.38367132564354,7.44834066980743,7.46503867990272,8.74065258076819
"DLX3",9.58749342296786,10.5527118800062,9.79432396029354,10.338835170863,9.53585539379963,10.6180055203602,11.818758005015,11.5298818146085,11.9543305937197,11.1514877153897
