"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","121_at","PAX8","7849","paired box 8",-0.304245398339932,8.1189306542111,-1.04600339961013,0.311457129585838,0.464240473295203,-5.64350168850077
"2","1316_at","THRA","7067","thyroid hormone receptor alpha",-0.518442584443736,8.25175692912172,-2.04659234274525,0.05788836587515,0.164725812284558,-4.3002619682955
"3","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",1.38304751935462,6.76234013341231,4.62397401705089,0.000297958846909261,0.024177026414092,0.524170626888959
"4","1552296_at","BEST4","266675","bestrophin 4",-0.695132632501312,7.95033687502688,-2.27700607753585,0.0372158411548063,0.134949649441807,-3.91432662548229
"5","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",0.573851510770382,6.80603422099777,1.64491668962101,0.119932240778404,0.246541372263519,-4.91420607065745
"6","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.211588395650606,8.90637347571885,-0.788252769607612,0.442333227129746,0.590714534721323,-5.87144130108727
"7","1552312_a_at","MFAP3","4238","microfibril associated protein 3",0.400734068907986,5.73383343403346,1.43722092620139,0.170360253573687,0.307411724408794,-5.19553905174017
"8","1552314_a_at","EYA3","2140","EYA transcriptional coactivator and phosphatase 3",-0.618038489034185,6.91764700953954,-2.52422295913815,0.0228267359317515,0.110416951324962,-3.47916753861782
"9","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4",0.146729817295784,7.2824201941955,0.475750796207154,0.640829015281715,0.759388396238899,-6.06724971400701
"10","1552334_at","TRIOBP","11078","TRIO and F-actin binding protein",0.435882441450634,8.49604527917679,1.06606573035377,0.302575168583042,0.454358187059501,-5.6234018808909
"11","1552365_at","SCIN","85477","scinderin",-0.194885002893267,7.78170956703888,-0.481862303841995,0.636577245353981,0.755454285426199,-6.06431162845385
"12","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33",0.79755652177306,8.10012674861023,2.55707807230274,0.0213705724856204,0.108081316236746,-3.41995801144303
"13","1552389_at","ERICH5","203111","glutamate rich 5",-0.749656483590295,7.28107317535791,-3.0830026740917,0.00728189978102855,0.0798511202507151,-2.44026278648886
"14","1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A",1.47256975934333,5.99729029166245,3.72313790645942,0.0019142457191501,0.04921889911795,-1.20486536910592
"15","1552400_a_at","TMEM266","123591","transmembrane protein 266",0.363129055653959,7.70887124733564,1.03182414725516,0.317847455360592,0.470291160116992,-5.65750848118985
"16","1552410_at","CLEC4F","165530","C-type lectin domain family 4 member F",0.0435267486782847,6.98848737088656,0.153405113147579,0.880040650257502,0.924021677631275,-6.1697672637796
"17","1552423_at","ETV3","2117","ETS variant transcription factor 3",0.426907073413004,7.57342863450676,1.65006390294109,0.118864805394576,0.244915881703529,-4.90689309479854
"18","1552478_a_at","IRF6","3664","interferon regulatory factor 6",1.00911853325025,8.12566960854082,2.06913171572932,0.0554776900192047,0.161501122127927,-4.26347134505879
"19","1552486_s_at","LACTB","114294","lactamase beta",0.427585503858351,8.42519653818679,1.68512693875042,0.111808827564199,0.236687359561478,-4.8566608885178
"20","1552487_a_at","BNC1","646","basonuclin 1",-0.2916090145458,10.1449180863247,-0.715211390967213,0.485019105312215,0.628257926860507,-5.92537591133134
"21","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein",-0.924246586288264,8.62849776969949,-3.0951173205645,0.0071010736693956,0.0794186598413113,-2.41715987322314
"22","1552497_a_at","SLAMF6","114836","SLAM family member 6",0.842890345528013,5.47714058391561,3.00547650436892,0.00855095419168861,0.0834255569494726,-2.58767104744321
"23","1552509_a_at","CD300LG","146894","CD300 molecule like family member g",0.636237823777467,9.70010830120147,1.58037864261926,0.134029358033039,0.264769098042346,-5.00454205302348
"24","1552511_a_at","CPA6","57094","carboxypeptidase A6",-1.02335177594689,4.95290861381077,-2.72279059085408,0.0152825053653937,0.0961548060274383,-3.11717466947782
"25","1552536_at","VTI1A","143187","vesicle transport through interaction with t-SNAREs 1A",0.0975257704157801,7.16420580676866,0.30307605843355,0.76582598618054,0.847482728015498,-6.13507701506165
"26","1552578_a_at","MYO3B","140469","myosin IIIB",-0.625186918684617,5.54507638025855,-2.01946908466995,0.0609157247208421,0.168176746301,-4.34423699246888
"27","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.559326628599594,8.7262364234978,1.8674731837249,0.0806915002077177,0.196053914762875,-4.58430585866616
"28","1552611_a_at","JAK1","3716","Janus kinase 1",-0.294337000704873,9.2803182418228,-1.0721923668659,0.299899996006217,0.451792208591962,-5.61719842178351
"29","1552612_at","CDC42SE2","56990","CDC42 small effector 2",1.2386531996168,7.98864694948276,2.61428380280416,0.0190444726304785,0.104554895013132,-3.31618750819459
"30","1552618_at","STX6","10228","syntaxin 6",-0.739728693337288,8.11341188712726,-2.82293331767618,0.0124545141393784,0.0899301098714373,-2.93124027202559
"31","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",0.527055758811219,8.28421845129713,1.54389736751644,0.14260388524281,0.275275161563236,-5.05446831770975
"32","1552628_a_at","HERPUD2","64224","HERPUD family member 2",0.945187031297102,10.3242059494301,2.91632103805826,0.0102793784164247,0.0862580083223845,-2.75614939099322
"33","1552632_a_at","ARSG","22901","arylsulfatase G",-0.323949692462849,7.32006906970192,-1.23922297615993,0.23353780080958,0.381785134499055,-5.43661421523787
"34","1552646_at","IL11RA","3590","interleukin 11 receptor subunit alpha",0.163902962872212,8.48757243343643,0.624858734628976,0.541073578957658,0.677732288023293,-5.98528782161589
"35","1552658_a_at","NAV3","89795","neuron navigator 3",0.960530060656346,8.80532462019894,2.54102986787548,0.0220704080097128,0.109223090109532,-3.44891564156402
"36","1552670_a_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B",0.714296674355834,6.8217573712891,2.30194824329247,0.0354474973809171,0.131275460197758,-3.87133041744509
"37","1552684_a_at","SENP8","123228","SUMO peptidase family member, NEDD8 specific",0.262256369487983,5.93001621487535,0.963158836699357,0.350124387882024,0.502920865159943,-5.72297489807248
"38","1552685_a_at","GRHL1","29841","grainyhead like transcription factor 1",0.411374284319569,9.33604478439391,1.14083675180159,0.27110647126861,0.423493664007082,-5.54562999208713
"39","1552694_at","SLC2A13","114134","solute carrier family 2 member 13",0.544916865655652,6.67178656194868,1.48026837913088,0.158663671929232,0.294123364590038,-5.13951271036432
"40","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",-0.455562450185839,9.06099493728391,-1.10288511571954,0.286758870090329,0.438115281736747,-5.58566402945346
"41","1552738_a_at","ST7L","54879","suppression of tumorigenicity 7 like",-0.0443699514834135,6.53405113809874,-0.145733869980402,0.88599319488054,0.927439604026907,-6.17093515953426
"42","1552742_at","KCNH8","131096","potassium voltage-gated channel subfamily H member 8",-0.255820951012573,7.22342959024991,-0.673069781844842,0.510726695030321,0.652508979162345,-5.95426618624203
"43","1552754_a_at","CADM2","253559","cell adhesion molecule 2",-0.687801531977447,8.53611441554881,-2.73210647908318,0.0149952151956603,0.0954998301097358,-3.09996469705846
"44","1552755_at","DOCK8-AS1","157983","DOCK8 antisense RNA 1",-0.779290952971286,6.5313191727415,-2.24062399269962,0.0399433671068274,0.138947823232302,-3.97664202900871
"45","1552763_at","TMEM67","91147","transmembrane protein 67",-0.0684287736566676,4.93107374731572,-0.243048154756714,0.811126959729635,0.879312929001978,-6.15170268321018
"46","1552767_a_at","HS6ST2","90161","heparan sulfate 6-O-sulfotransferase 2",-0.00901171535979373,6.52819587349563,-0.0294090558003112,0.976910357497048,0.985704309504923,-6.1813118273936
"47","1552803_a_at","STMN1","3925","stathmin 1",-0.793042579667378,6.53866465914212,-2.64518282719599,0.017891026862564,0.102431713387937,-3.25979590955622
"48","1552807_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",-1.36855382392505,9.16412004458444,-3.53048837796408,0.00286346802720574,0.0589523784866358,-1.57853404249059
"49","1552870_s_at","AXDND1","126859","axonemal dynein light chain domain containing 1",-1.23470015187343,7.50320815060971,-2.18762868885772,0.0442504352582448,0.146264217196977,-4.06652885202311
"50","1552882_a_at","AMER1","139285","APC membrane recruitment protein 1",0.199764824950546,8.08201299123586,0.769057122942147,0.453317598035209,0.60098784883923,-5.88608550488582
"51","1552946_at","ZNF114","163071","zinc finger protein 114",-0.155915687261253,6.13592928452745,-0.498986010416892,0.624734490270331,0.746720561356292,-6.05588599208522
"52","1552960_at","LRRC15","131578","leucine rich repeat containing 15",-1.01701763724719,6.81217517280172,-2.99015661470081,0.00882624698878649,0.0839300626255839,-2.6167049617082
"53","1552999_a_at","WFDC10B","280664","WAP four-disulfide core domain 10B",-0.410040398117467,5.74778685355183,-1.56034275305518,0.13868287723959,0.270154452213199,-5.03206560632955
"54","1553015_a_at","RECQL4","9401","RecQ like helicase 4",-0.589501011257868,7.73070105477031,-2.05129839202093,0.0573772784162966,0.163799403523193,-4.29259875484776
"55","1553023_a_at","NOX5","79400","NADPH oxidase 5",-0.672464913996018,6.35803755009628,-2.58090905185125,0.0203703147820516,0.106584925062934,-3.37683118969013
"56","1553031_at","ADGRF4","221393","adhesion G protein-coupled receptor F4",0.208613229080028,8.45500744327925,0.658784152082699,0.519616106324919,0.66052007064085,-5.96368528132798
"57","1553062_at","MOGAT1","116255","monoacylglycerol O-acyltransferase 1",-0.171426449007091,8.68208879204068,-0.5912895643287,0.562775621916384,0.69865622371308,-6.00559522397355
"58","1553067_a_at","GNRHR2","114814","gonadotropin releasing hormone receptor 2 (pseudogene)",0.714538752469402,8.87783678984051,1.81233183285891,0.0891757664196501,0.206900904241359,-4.66855968880708
"59","1553072_at","BNIPL","149428","BCL2 interacting protein like",-0.200377831414933,6.66404255256665,-0.627974131745168,0.539083004175002,0.676401659964853,-5.98334916303524
"60","1553077_at","SDR9C7","121214","short chain dehydrogenase/reductase family 9C member 7",0.376152698580887,7.90540737758519,1.14342326355095,0.270063539134213,0.422125965724503,-5.54286006962979
"61","1553081_at","WFDC12","128488","WAP four-disulfide core domain 12",-0.858612436040033,10.7684500065283,-1.65659972998653,0.11752118525055,0.243540204767367,-4.89758455962627
"62","1553099_at","TIGD1","200765","tigger transposable element derived 1",-0.238162359934503,8.52115686303545,-0.872397555505529,0.396187579327797,0.547348712716901,-5.80335868182047
"63","1553101_a_at","ALKBH5","54890","alkB homolog 5, RNA demethylase",0.818880348357316,9.54090208380118,2.1152433404816,0.0508295761787331,0.154517131327663,-4.18752302560251
"64","1553102_a_at","CCDC69","26112","coiled-coil domain containing 69",0.0298424220911677,9.72868491262341,0.104672200526216,0.91796651393023,0.949984221638096,-6.17617030197094
"65","1553106_at","C5orf24","134553","chromosome 5 open reading frame 24",0.530357571627579,7.06124031048397,1.68462404290673,0.111907410951314,0.236687359561478,-4.85738643205254
"66","1553111_a_at","KBTBD6","89890","kelch repeat and BTB domain containing 6",0.475924426855267,8.95311802860297,1.59119482489392,0.131572746275717,0.261692796614636,-4.98957989529369
"67","1553112_s_at","CDK8","1024","cyclin dependent kinase 8",0.439748493734544,6.6316413305018,1.40048789988671,0.180893802942628,0.32015029545355,-5.24235676525753
"68","1553117_a_at","STK38","11329","serine/threonine kinase 38",0.541785280650086,7.72439626885232,1.77981459546849,0.0945407698089812,0.215035821868246,-4.71749257686252
"69","1553118_at","THEM4","117145","thioesterase superfamily member 4",0.128511244795241,8.42482536968048,0.419888791889684,0.680278091268682,0.787828696856887,-6.09241338543313
